                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96799,                 1.8227,                 1.1823,                0.85901,                0.61356,                0.76756,                0.53728,                 1.0932,                 1.9807,                 1.2504,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.0475,                 1.2578,                 1.2353,                 0.9023,                0.56271,                0.69764,                0.43485,                  1.335,                 2.0841,                  1.433,             0.00080376,             0.00080376,             0.00080376
                      3,                 1.1234,                 1.3181,                 1.2642,                0.72225,                0.52542,                0.61965,                0.35593,                 1.5125,                 2.1629,                 1.7037,              0.0011909,              0.0011909,              0.0011909
                      4,                 1.1496,                 1.3105,                 1.2915,                 0.7199,                0.54888,                0.62516,                 0.3774,                 1.3969,                 1.9682,                 1.5687,              0.0015614,              0.0015614,              0.0015614
                      5,                  1.168,                 1.2789,                  1.321,                0.66051,                0.61337,                0.69459,                0.38909,                 1.5316,                 1.7523,                 1.5851,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1859,                 1.2465,                 1.2998,                 0.6071,                0.51864,                0.55739,                0.33875,                 1.4757,                 2.5875,                 1.7248,               0.001802,               0.001802,               0.001802
                      7,                 1.1886,                 1.3412,                 1.3347,                0.70202,                 0.6339,                0.71113,                0.41454,                 1.4713,                 1.6088,                  1.694,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1271,                 1.2485,                 1.3205,                0.68109,                0.66605,                0.71861,                0.40153,                 1.4916,                 1.7759,                 1.6102,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1417,                 1.2009,                 1.2855,                0.77004,                0.76271,                 0.8227,                0.48322,                 1.3206,                 1.4628,                 1.5212,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1134,                 1.1513,                 1.2819,                0.78284,                0.67119,                0.79588,                0.48879,                 1.3566,                 1.4092,                  1.522,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0998,                 1.1342,                 1.2622,                0.84247,                0.68475,                0.77101,                0.49357,                 1.2428,                 1.3599,                 1.4247,               0.001604,               0.001604,               0.001604
                     12,                 1.0705,                  1.088,                 1.2517,                0.73973,                0.68814,                0.77349,                0.51046,                 1.2411,                 1.4043,                 1.4232,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0595,                 1.1038,                 1.2516,                 0.8057,                0.68136,                0.76243,                0.49955,                 1.3143,                 1.3567,                 1.4869,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0626,                  1.066,                 1.2625,                0.68458,                0.58644,                0.67078,                0.35671,                 1.6473,                 2.0677,                 1.7158,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0715,                 1.0366,                 1.2389,                0.74659,                0.71864,                 0.7883,                0.47788,                 1.3017,                 1.5031,                 1.4365,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0376,                 1.0407,                 1.2294,                0.78326,                0.67377,                0.77244,                0.47839,                 1.3774,                 1.3859,                 1.4822,               0.001406,               0.001406,               0.001406
                     17,                 1.0918,                 1.0349,                 1.2583,                0.87774,                0.73009,                 0.8437,                0.54435,                  1.255,                 1.1877,                 1.3786,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0207,                0.98448,                 1.2122,                0.85583,                0.73898,                0.83174,                0.55077,                 1.2329,                 1.1261,                 1.3944,              0.0013268,              0.0013268,              0.0013268
                     19,                0.96221,                0.92049,                 1.1733,                0.82849,                0.75593,                0.82559,                0.54693,                 1.1895,                 1.1732,                 1.3429,              0.0012872,              0.0012872,              0.0012872
                     20,                 0.9358,                0.90229,                 1.1678,                0.84549,                0.74237,                0.81665,                0.55091,                 1.1965,                 1.1687,                 1.3393,              0.0012476,              0.0012476,              0.0012476
                     21,                 0.9695,                0.91496,                  1.182,                0.82377,                0.74576,                0.80568,                0.54541,                 1.1714,                 1.0992,                 1.3221,               0.001208,               0.001208,               0.001208
                     22,                0.91824,                0.88723,                 1.1679,                0.83991,                0.76476,                0.85396,                0.58222,                 1.0947,                 1.0214,                 1.2951,              0.0011684,              0.0011684,              0.0011684
                     23,                0.93364,                0.88929,                 1.1698,                0.78302,                0.79661,                0.83187,                 0.5803,                 1.1013,                 1.0482,                 1.2877,              0.0011288,              0.0011288,              0.0011288
                     24,                0.89105,                0.84208,                 1.1406,                0.79532,                0.77627,                0.84332,                0.55445,                 1.0911,                0.98405,                 1.3045,              0.0010892,              0.0010892,              0.0010892
                     25,                 0.9031,                0.84176,                 1.1567,                0.86746,                0.75593,                0.87604,                0.60916,                 1.0711,                0.98647,                 1.2581,              0.0010496,              0.0010496,              0.0010496
                     26,                0.87963,                0.82823,                 1.1455,                0.86569,                0.78305,                0.86323,                0.61145,                   1.03,                 1.0134,                 1.2564,                0.00101,                0.00101,                0.00101
                     27,                0.84271,                0.82487,                 1.1219,                0.84137,                0.75254,                0.83259,                0.58374,                 1.0827,                 1.0198,                 1.3081,              0.0009704,              0.0009704,              0.0009704
                     28,                0.85829,                0.78318,                 1.1099,                  0.841,                0.80339,                0.86546,                 0.6156,                 1.0427,                0.98015,                 1.2555,              0.0009308,              0.0009308,              0.0009308
                     29,                0.84485,                0.77567,                 1.1277,                0.84909,                0.78197,                0.86094,                0.61721,                 1.0121,                0.96867,                 1.2437,              0.0008912,              0.0008912,              0.0008912
                     30,                0.85278,                0.78581,                 1.1195,                0.89617,                0.73148,                0.85174,                0.59958,                  1.064,                0.96103,                 1.2844,              0.0008516,              0.0008516,              0.0008516
                     31,                0.87455,                0.78188,                 1.1352,                0.86309,                0.75932,                0.85463,                0.62023,                 1.0334,                0.96008,                  1.263,               0.000812,               0.000812,               0.000812
                     32,                0.79276,                0.74558,                 1.0805,                0.89736,                0.77966,                0.86287,                0.62162,                 1.0591,                0.97663,                  1.242,              0.0007724,              0.0007724,              0.0007724
                     33,                0.83109,                0.75151,                 1.1105,                0.89051,                0.77288,                0.87276,                0.64379,                0.99228,                0.92288,                 1.2264,              0.0007328,              0.0007328,              0.0007328
                     34,                0.80295,                0.71783,                 1.0983,                0.86965,                0.79156,                0.85783,                0.62721,                 1.0177,                0.88601,                 1.2165,              0.0006932,              0.0006932,              0.0006932
                     35,                0.78771,                0.70519,                 1.0897,                0.86775,                0.80074,                0.87985,                 0.6382,                0.98101,                 0.8801,                  1.201,              0.0006536,              0.0006536,              0.0006536
                     36,                0.78902,                0.70333,                 1.0812,                0.93605,                0.76271,                0.88299,                0.65286,                0.97556,                0.87787,                 1.2101,               0.000614,               0.000614,               0.000614
                     37,                0.72473,                0.67928,                 1.0468,                0.86899,                  0.787,                0.86502,                0.64631,                 1.0182,                0.89425,                 1.2426,              0.0005744,              0.0005744,              0.0005744
                     38,                0.75205,                0.66397,                 1.0615,                0.87655,                0.81695,                0.89146,                0.65774,                0.96316,                0.86666,                 1.2228,              0.0005348,              0.0005348,              0.0005348
                     39,                 0.7134,                0.65692,                 1.0531,                0.86494,                0.83729,                0.89987,                0.65101,                0.99048,                0.83398,                 1.2143,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7347,                0.64274,                 1.0602,                0.86902,                0.80678,                0.87681,                 0.6572,                 0.9712,                0.84385,                  1.203,              0.0004556,              0.0004556,              0.0004556
                     41,                0.64788,                 0.5858,                0.99323,                0.88095,                    0.8,                0.87401,                0.65832,                0.96782,                0.90591,                 1.2154,               0.000416,               0.000416,               0.000416
                     42,                 0.6234,                0.54099,                0.98204,                0.90495,                    0.8,                0.87861,                0.66154,                0.93365,                0.83735,                 1.1877,              0.0003764,              0.0003764,              0.0003764
                     43,                0.61861,                0.53107,                0.99003,                0.89226,                0.81017,                0.88289,                 0.6627,                0.92652,                0.80667,                 1.1767,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58054,                0.50451,                0.96351,                0.88917,                0.83051,                0.89071,                0.66517,                0.92295,                0.80969,                 1.1732,              0.0002972,              0.0002972,              0.0002972
                     45,                0.56287,                0.49425,                0.95247,                0.86273,                 0.8309,                0.88757,                0.66073,                0.91597,                0.80715,                 1.1684,              0.0002576,              0.0002576,              0.0002576
                     46,                0.56196,                0.48883,                0.95653,                0.86787,                0.82384,                0.88345,                0.66041,                0.92861,                0.82296,                 1.1848,               0.000218,               0.000218,               0.000218
                     47,                0.55084,                0.48166,                0.96167,                0.87582,                0.81017,                0.88534,                0.66211,                0.92786,                0.80287,                 1.1729,              0.0001784,              0.0001784,              0.0001784
                     48,                0.54283,                0.46125,                0.92699,                0.89326,                0.79661,                0.88452,                0.65832,                0.92937,                0.80094,                 1.1812,              0.0001388,              0.0001388,              0.0001388
                     49,                0.52218,                0.45423,                0.92978,                 0.8892,                0.80339,                0.88375,                0.66067,                0.91597,                0.79172,                 1.1817,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.53687,                0.46983,                0.94093,                0.91389,                0.80339,                 0.8898,                 0.6681,                0.91191,                0.77835,                 1.1758,               5.96e-05,               5.96e-05,               5.96e-05
